사업자번호,최종평판점수,일반 평판 환산 점수,미래 평판 환산 점수,사회적 책임 환산 점수,대중 평판 점수,고용 평판 점수,신용 평판 점수,기업 프로파일 점수,사업계획 점수,경제적 책임 점수,법률적 책임 점수,윤리적 책임 점수,자선적 책임 점수,
6987,55.5,51.32075472,58.33333333,82.48175182,45,66,30,70,50,80,100,100,50,
6742,55.75,47.16981132,63.54166667,91.24087591,50,50,30,80,50,100,100,100,50,
8014,51.925,50.94339623,50.52083333,71.53284672,60,50,30,55,50,50,100,100,60,
8664,61.75,58.49056604,63.54166667,91.24087591,50,50,60,80,50,100,100,100,50,
9489,54.0375,54.33962264,51.82291667,71.53284672,55,54,40,57.5,50,55,100,100,50,
8683,56.75,49.05660377,63.54166667,91.24087591,55,50,30,80,50,100,100,100,50,
6573,55.75,47.16981132,63.54166667,91.24087591,50,50,30,80,50,100,100,100,50,
6994,56.75,49.05660377,63.54166667,91.24087591,55,50,30,80,50,100,100,100,50,
4460,64.075,69.81132075,55.72916667,78.10218978,70,50,70,65,50,70,100,100,50,
4461,50.85,47.16981132,53.125,73.72262774,50,50,30,60,50,60,100,100,50,
9488,64.95,64.52830189,63.54166667,91.24087591,50,66,60,80,50,100,100,100,50,
7678,61.775,58.49056604,66.14583333,86.86131387,50,50,60,75,60,90,100,100,50,
9147,51.075,45.28301887,55.72916667,78.10218978,55,50,20,65,50,70,100,100,50,
